;0;1;2
0;1;68.83203609691793;64.47841704943912
1;3;60.13320925236488;56.08509873894603
2;5;55.49941247205613;53.313651972282656
3;10;53.090010154653434;52.79150973708043
4;20;49.93078517663005;51.13460062555488
5;30;49.55016850913456;51.36580319305598
6;40;49.79708741696531;51.92912180784883
7;50;49.44798105202937;50.290398752467105
8;60;48.366111473908305;51.73270391155108
9;70;48.75512195622088;50.97281808170317
10;80;49.18694434892144;51.78949155767532
11;90;49.25733524043739;51.34334038996193
12;100;52.10174416506039;50.98764839581399
